symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
BBCA,2025-09-02,,,,,,,,,,,0,YP,0.3823754691896759,174624975000.0,-305980117500.0,10.0,10.0,20.0,0.2
BBHI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBKP,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBLD,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBMD,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBNI,2025-09-02,,,,,,,,,,,0,BK,0.5910900461009962,45271880000.0,8366623000.0,10.0,10.0,20.0,0.25
BBRI,2025-09-02,,,,,,,,,,,0,BK,0.6094197633848827,147961198000.0,11609060000.0,10.0,10.0,20.0,0.2
BBRM,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBSI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBSS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBTN,2025-09-02,,,,,,,,,,,0,,,,,,,,
BBYB,2025-09-02,,,,,,,,,,,0,,,,,,,,
BCAP,2025-09-02,,,,,,,,,,,0,,,,,,,,
BCIC,2025-09-02,,,,,,,,,,,0,,,,,,,,
BCIP,2025-09-02,,,,,,,,,,,0,,,,,,,,
BDKR,2025-09-02,,,,,,,,,,,0,,,,,,,,
BDMN,2025-09-02,,,,,,,,,,,0,,,,,,,,
BEBS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BEEF,2025-09-02,,,,,,,,,,,0,,,,,,,,
BEER,2025-09-02,,,,,,,,,,,0,,,,,,,,
BEKS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BELI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BELL,2025-09-02,,,,,,,,,,,0,,,,,,,,
BESS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BEST,2025-09-02,,,,,,,,,,,0,,,,,,,,
BFIN,2025-09-02,,,,,,,,,,,0,,,,,,,,
BGTG,2025-09-02,,,,,,,,,,,0,,,,,,,,
BHAT,2025-09-02,,,,,,,,,,,0,,,,,,,,
BHIT,2025-09-02,,,,,,,,,,,0,,,,,,,,
BIKA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BIKE,2025-09-02,,,,,,,,,,,0,,,,,,,,
BIMA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BINA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BINO,2025-09-02,,,,,,,,,,,0,,,,,,,,
BIPI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BIPP,2025-09-02,,,,,,,,,,,0,,,,,,,,
BIRD,2025-09-02,,,,,,,,,,,0,,,,,,,,
BISI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BJBR,2025-09-02,,,,,,,,,,,0,,,,,,,,
BJTM,2025-09-02,,,,,,,,,,,0,,,,,,,,
BKDP,2025-09-02,,,,,,,,,,,0,,,,,,,,
BKSL,2025-09-02,,,,,,,,,,,0,,,,,,,,
BKSW,2025-09-02,,,,,,,,,,,0,,,,,,,,
BLES,2025-09-02,,,,,,,,,,,0,,,,,,,,
BLOG,2025-09-02,,,,,,,,,,,0,,,,,,,,
BLTA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BLTZ,2025-09-02,,,,,,,,,,,0,,,,,,,,
BLUE,2025-09-02,,,,,,,,,,,0,,,,,,,,
BMAS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BMBL,2025-09-02,,,,,,,,,,,0,,,,,,,,
BMHS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BMRI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BMSR,2025-09-02,,,,,,,,,,,0,,,,,,,,
BMTR,2025-09-02,,,,,,,,,,,0,,,,,,,,
BNBA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BNBR,2025-09-02,,,,,,,,,,,0,,,,,,,,
BNGA,2025-09-02,,,,,,,,,,,0,,,,,,,,
