broker_source_date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-09-03,ASSA,-416522500,AZ,0.3221495457825815,1126239000,10,10,20,0.0
2025-09-03,ATAP,0,YP,0.8058831386362939,388557200,10,9,19,0.0
2025-09-03,ATIC,223000,ZP,0.6639204828775093,139802400,8,10,18,0.0
2025-09-03,ATLA,-132698700,YP,0.36037294366495987,637513900,10,10,20,0.0
2025-09-03,AUTO,-14206000,TP,0.46897157623386404,2246228000,10,10,20,0.0
2025-09-03,AVIA,50233000,BK,0.50474354091683,4057311400,10,10,20,0.0
2025-09-03,AWAN,11722400,CC,0.7632603154125934,231214600,5,10,15,0.0
2025-09-03,AXIO,-12700,XC,0.4927941560135664,37777600,10,9,19,0.0
2025-09-03,AYAM,-723800,AT,0.9558131722728933,3283234400,10,10,20,0.0
2025-09-03,AYLS,-2033200,KK,0.28539712681098667,26211500,10,8,18,0.0
2025-09-03,BABP,52159800,AI,0.4398653238186718,416584000,10,10,20,0.0
2025-09-03,BABY,0,BK,0.8919431919516698,113625000,9,7,16,0.0
2025-09-03,BACA,-445800,XL,0.32425918404147,71210300,10,10,20,0.0
2025-09-03,BAIK,-1494300,YP,0.4179776866721427,80552200,10,10,20,0.0
2025-09-03,BAJA,-3387700,AT,0.622256593943341,91725600,10,9,19,0.0
2025-09-03,BALI,-7565000,XL,0.6129696490712564,272233000,10,6,16,0.0
2025-09-03,BANK,6852000,YU,0.2988722858183886,298577000,10,10,20,0.0
2025-09-03,BAPA,-58083600,PD,0.316098780355435,234722500,10,10,20,0.0
2025-09-03,BAPI,979000,YP,0.47482531367895536,110479600,10,10,20,0.0
2025-09-03,BATA,0,XL,0.7908694312065818,6671300,5,2,7,0.0
2025-09-03,BATR,-7992800,CC,0.26835729483416393,82348200,10,10,20,0.0
2025-09-03,BAUT,-1354500,YP,0.9276730788097687,1021208500,10,10,20,0.0
2025-09-03,BAYU,0,YP,0.770951739853653,286893500,7,7,14,0.0
2025-09-03,BBCA,-258603395000,CC,0.24738087362734398,190788665000,10,10,20,0.0
2025-09-03,BBHI,14831500,CC,0.28704860512496416,323843500,10,10,20,0.0
2025-09-03,BBKP,-251704300,YP,0.2649751744760141,949941300,10,10,20,0.0
2025-09-03,BBLD,0,CC,0.4862484420440382,2926000,6,4,10,0.0
2025-09-03,BBMD,0,XL,0.6238911886457718,1055000,2,3,5,0.0
2025-09-03,BBNI,11388706000,AK,0.31210392985469754,19763771000,10,10,20,0.0
2025-09-03,BBRI,12253411000,ZP,0.24129573110560373,40040312000,10,10,20,0.0
2025-09-03,BBRM,1886400,AZ,0.5725417259568399,287766800,10,10,20,0.0
2025-09-03,BBSI,0,LG,0.7601400781943345,31691000,2,3,5,0.0
2025-09-03,BBSS,0,CC,0.542702025475047,1039600,4,4,8,0.0
2025-09-03,BBTN,-520812500,OD,0.27863668405735914,2365300000,10,10,20,0.0
2025-09-03,BBYB,-1701269400,ZP,0.3207822616518126,3564609800,10,7,17,0.0
2025-09-03,BCAP,-39629400,BQ,0.3255219282511117,156161300,10,10,20,0.0
2025-09-03,BCIP,488200,TF,0.5357090397156249,93000000,8,10,18,0.0
2025-09-03,BDKR,-57196100,XL,0.16450624172066586,252094300,10,10,20,0.0
2025-09-03,BDMN,57644000,YP,0.5019149682756082,436267000,10,10,20,0.0
2025-09-03,BEEF,468435600,AT,0.5080878367712128,980381800,7,10,17,0.0
2025-09-03,BEER,-207100,AO,0.32594464949085705,21689400,10,8,18,0.0
2025-09-03,BEKS,-1302282500,SQ,0.23535198003071747,1208270000,10,2,12,0.0
2025-09-03,BELI,0,EP,0.43986298744850055,18363400,10,5,15,0.0
2025-09-03,BELL,126931000,CC,0.435659835098703,1160632000,10,10,20,0.0
2025-09-03,BESS,0,PG,0.7396413781140911,68226000,7,7,14,0.0
2025-09-03,BEST,-394073100,YP,0.31079262334177393,641180100,10,10,20,0.0
2025-09-03,BFIN,-1845492000,PD,0.19458876956734006,1466146500,10,9,19,0.0
2025-09-03,BGTG,-8506400,XL,0.23078908072150547,319107700,10,10,20,0.0
2025-09-03,BHAT,47418000,XA,0.3403030195794933,134630000,8,10,18,0.0
2025-09-03,BHIT,2900800,YU,0.5742830184191121,267983600,10,10,20,0.0
2025-09-03,BIKE,-105629000,SA,0.15302938664663354,420644500,10,10,20,0.0
2025-09-03,BIMA,0,CC,0.7863255305842958,9933100,2,9,11,0.0
2025-09-03,BINA,0,RS,1.0,24255000,1,5,6,0.0
2025-09-03,BINO,0,YP,0.7136547118950206,78231900,10,7,17,0.0
2025-09-03,BIPI,-731760800,XA,0.6380251020378062,4312592800,10,10,20,0.0
2025-09-03,BIPP,0,XL,0.40469363268460334,1990000,4,5,9,0.0
2025-09-03,BIRD,-6829000,XL,0.2716020381025698,315058500,10,10,20,0.0
2025-09-03,BISI,267500,XL,0.527646625150978,100914000,9,10,19,0.0
2025-09-03,BJBR,-177481500,NI,0.15609530719279818,216224000,10,8,18,0.0
2025-09-03,BJTM,-51454000,YP,0.4577529477762886,307217000,10,9,19,0.0
2025-09-03,BKDP,0,XL,0.8213580177230908,61118400,10,4,14,0.0
2025-09-03,BKSL,-408833700,IF,0.21161708038655824,1933322600,10,10,20,0.0
2025-09-03,BKSW,-1393100,YP,0.30566217489441055,61087900,10,9,19,0.0
2025-09-03,BLES,-26956200,XC,0.5163560981546503,305901900,10,10,20,0.0
2025-09-03,BLTA,-20094800,XL,0.34507373370378286,213127200,10,10,20,0.0
2025-09-03,BLUE,0,XL,0.5533924815385696,26783200,8,6,14,0.0
2025-09-03,BMAS,0,ZP,0.3129990418396678,1470000,7,5,12,0.0
2025-09-03,BMBL,6149000,DR,0.4055820777129426,122303600,8,10,18,0.0
2025-09-03,BMHS,-11487200,XL,0.1851314734435797,54535400,10,7,17,0.0
2025-09-03,BMRI,12119126000,AK,0.30358203332484435,76009225000,10,10,20,0.0
2025-09-03,BMSR,220800,XC,0.375120502458737,7704600,10,10,20,0.0
2025-09-03,BMTR,47419300,BK,0.3757656339324874,342191200,10,10,20,0.0
2025-09-03,BNBA,-2832500,BQ,0.8179892929793524,141946500,10,10,20,0.0
2025-09-03,BNBR,-332779800,EP,0.4342541232459513,818530200,10,6,16,0.0
2025-09-03,BNGA,-87541000,BK,0.42883846558642863,1203632500,10,10,20,0.0
2025-09-03,BNII,105000,CC,0.5638968358106219,31458000,8,10,18,0.0
2025-09-03,BNLI,16215000,ZP,0.8049531337224648,344627000,5,10,15,0.0
2025-09-03,BOAT,8050200,XL,0.40966289188154775,330849200,10,10,20,0.0
2025-09-03,BOBA,0,YP,0.3576676890909629,7253000,7,6,13,0.0
2025-09-03,BOGA,-1710000,BR,0.47013151593725544,80502500,10,8,18,0.0
2025-09-03,BOLA,330200,DH,0.5145870398488444,25655200,10,10,20,0.0
2025-09-03,BOLT,0,XL,1.0,107500,1,1,2,0.0
2025-09-03,BPFI,0,XA,0.7810333672243276,1690000,3,2,5,0.0
2025-09-03,BPII,-1815000,DR,0.23733162283515075,23125000,10,10,20,0.0
2025-09-03,BPTR,0,XL,0.867369150779896,12511800,5,4,9,0.0
2025-09-03,BRAM,0,EP,0.6650406504065041,1022500,2,2,4,0.0
2025-09-03,BREN,-14978855000,MG,0.2830852695016686,28944725000,10,10,20,0.0
2025-09-03,BRIS,835365000,KZ,0.6384305927362033,4937868000,10,10,20,0.0
2025-09-03,BRMS,-49089982500,YP,0.3712201713176314,45881038000,10,10,20,0.0
2025-09-03,BRNA,0,YU,0.7146718908020023,56180000,7,4,11,0.0
2025-09-03,BRPT,-14691302000,CC,0.15117920962796877,7907094000,10,10,20,0.0
2025-09-03,BSBK,410880800,XL,0.35835005314661894,3246190500,10,10,20,0.0
2025-09-03,BSDE,327502500,ZP,0.33426158377764625,5093053000,10,10,20,0.0
2025-09-03,BSIM,0,KK,0.6472919987935715,7511500,4,5,9,0.0
2025-09-03,BSML,-29391400,CP,0.7226988095685596,1663031500,10,10,20,0.0
2025-09-03,BSSR,-9495000,NI,0.5170110460682159,204725000,10,9,19,0.0
2025-09-03,BSWD,0,XC,1.0,141000,1,1,2,0.0
2025-09-03,BTEK,167112000,CC,0.4676800411862158,1062852000,10,10,20,0.0
2025-09-03,BTON,0,AI,0.7194994211367771,2610200,6,6,12,0.0
2025-09-03,BTPN,0,YP,0.47141225275055615,7841000,7,7,14,0.0
2025-09-03,BTPS,-92324500,OD,0.7222100284399701,3785639000,10,10,20,0.0
2025-09-03,BUAH,-134500,YP,0.3726523897704887,126176000,10,8,18,0.0
2025-09-03,BUDI,0,XL,0.5409249885465902,9681800,6,6,12,0.0
2025-09-03,BUKA,-804007900,ZP,0.22385234691244552,4290545900,10,10,20,0.0
2025-09-03,BUKK,0,CC,0.6593617971353004,9598000,4,6,10,0.0
2025-09-03,BULL,551718400,II,0.4320221805006057,8042287300,10,10,20,0.0
2025-09-03,BUMI,-2396039800,CP,0.3134374010665164,8228115300,10,10,20,0.0
2025-09-03,BUVA,-4667413400,YJ,0.3765474277339928,8157712200,10,10,20,0.0
2025-09-03,BVIC,-249918500,KK,0.2732652310432018,339308300,10,10,20,0.0
2025-09-03,BYAN,0,KK,0.3571639489484563,27215000,6,9,15,0.0
2025-09-03,CAKK,405700,AZ,0.7353814581608278,246895500,10,10,20,0.0
2025-09-03,CAMP,272000,AH,0.689769566182348,165340800,10,10,20,0.0
2025-09-03,CANI,0,YP,0.5501536584462777,31202900,5,7,12,0.0
2025-09-03,CARE,31430200,TP,0.5609557905064506,454652200,10,10,20,0.0
2025-09-03,CARS,-259157400,RF,0.32527360897221624,1182894300,10,10,20,0.0
2025-09-03,CASA,-30565000,AO,0.34955386686748363,268061500,10,10,20,0.0
2025-09-03,CASH,0,XL,0.6668534989565051,42593200,8,10,18,0.0
2025-09-03,CASS,-1547000,PD,0.5403492415341512,113596000,10,7,17,0.0
2025-09-03,CBPE,-53300,XL,0.5817798499958815,78398500,10,10,20,0.0
2025-09-03,CBRE,608391000,CP,0.9175407616325868,4264334000,4,10,14,0.0
2025-09-03,CBUT,0,YP,0.4964899017172481,6895500,6,4,10,0.0
2025-09-03,CCSI,143600,XL,0.5693356518690033,135089800,10,10,20,0.0
2025-09-03,CEKA,0,AT,0.46237275235467606,4860000,6,6,12,0.0
2025-09-03,CENT,22604900,KK,0.23287894901021083,269280700,10,10,20,0.0
2025-09-03,CFIN,-2581200,KK,0.5025338484041556,133990600,10,10,20,0.0
2025-09-03,CGAS,262443000,YJ,0.7390379266807355,3859298400,10,10,20,0.0
2025-09-03,CHEM,-158599300,EP,0.8386405797848593,1786180400,10,10,20,0.0
2025-09-03,CHIP,0,SF,0.27709013050570963,13588500,8,7,15,0.0
2025-09-03,CINT,-383800,XL,0.42057378691207054,23723600,10,10,20,0.0
2025-09-03,CITA,-16117000,XL,0.24623705581055655,203641000,10,8,18,0.0
2025-09-03,CITY,-5500,AZ,0.7372611042097591,99944000,10,9,19,0.0
2025-09-03,CLAY,0,AZ,0.37037418080432927,18000000,7,2,9,0.0
2025-09-03,CLEO,-272078000,CC,0.1989624643393102,365062000,10,10,20,0.0
2025-09-03,CLPI,0,XL,0.44705530852914815,38155500,10,4,14,0.0
2025-09-03,CMNP,135500,XL,0.6743652390889445,45404000,7,10,17,0.0
2025-09-03,CMNT,-225128500,AK,0.46465113924523277,2588394000,10,10,20,0.0
2025-09-03,CMPP,0,GR,0.7912362492615713,19823000,4,8,12,0.0
2025-09-03,CMRY,114002000,KZ,0.7945878337838795,2973153000,10,10,20,0.0
2025-09-03,CNKO,-74126900,CC,0.23670839617372952,314796200,10,10,20,0.0
2025-09-03,CNMA,15876300,PD,0.7115293008706718,1027513700,10,10,20,0.0
2025-09-03,COAL,18697900,CC,0.40043793848568254,354007600,10,10,20,0.0
2025-09-03,COCO,-90397500,XL,0.3186833076504327,1493969500,10,10,20,0.0
2025-09-03,CPIN,2141653000,PD,0.37768839115370756,7089548000,10,10,20,0.0
2025-09-03,CPRO,-1409265500,YP,0.29157230839175596,2503086600,10,10,20,0.0
2025-09-03,CRAB,0,EP,0.995285545912354,124472600,2,6,8,0.0
2025-09-03,CRSN,0,XC,0.8260202407530126,25677500,8,7,15,0.0
2025-09-03,CSAP,0,YP,0.45755865835575443,13639000,6,7,13,0.0
2025-09-03,CSIS,0,XL,0.24528569283486049,14538500,8,5,13,0.0
2025-09-03,CSMI,0,XL,0.36403189342158654,69077600,8,5,13,0.0
2025-09-03,CSRA,609500,NI,0.3678881562059048,225001500,10,10,20,0.0
2025-09-03,CTRA,-3157331500,YU,0.2943811675680332,4244719000,10,9,19,0.0
2025-09-03,CTTH,0,XL,0.6912751677852349,2163000,4,8,12,0.0
2025-09-03,CUAN,762023500,BK,0.3683317953925724,11508417000,10,10,20,0.0
2025-09-03,CYBR,-103572000,TP,0.34877463414634147,1161855500,10,10,20,0.0
2025-09-03,DAAZ,-308000,YP,0.24755913667311472,65012000,10,10,20,0.0
2025-09-03,DADA,2234700,CP,0.5515285326086956,126648600,7,10,17,0.0
2025-09-03,DART,0,SQ,0.8899596934868959,133781500,7,8,15,0.0
2025-09-03,DAYA,0,XC,0.8693965517241379,2017000,4,5,9,0.0
2025-09-03,DCII,0,KK,0.18657163325385898,166677500,9,6,15,0.0
2025-09-03,DEFI,0,XL,0.7202614379084967,63805800,8,5,13,0.0
2025-09-03,DEPO,0,XL,0.7465671366694314,13771700,7,7,14,0.0
2025-09-03,DEWA,741532800,ZP,0.4136016762946626,5221716200,10,10,20,0.0
2025-09-03,DEWI,-3189100,XA,0.9018146430552216,2041121000,10,10,20,0.0
