date,symbol,broker,side,transaction_type,lot,value,avg,net_value,net_lot
2025-08-29,TLKM,YJ,SELL,NET,17411,5511996000,3160.590457738,-5511996000.0,-17411.0
2025-08-29,TLKM,DP,SELL,NET,10158,3179454000,3130.0,-3179454000.0,-10158.0
2025-08-29,TLKM,SQ,SELL,NET,9773,3075973000,3145.1769251032,-3075973000.0,-9773.0
2025-08-29,TLKM,XL,SELL,NET,8627,2717531000,3145.5352612887,-2717531000.0,-8627.0
2025-08-29,TLKM,YP,SELL,NET,8228,2583305000,3134.8646981411,-2583305000.0,-8228.0
2025-08-29,TLKM,DR,SELL,NET,8230,2581829000,3135.3316251109,-2581829000.0,-8230.0
2025-08-29,BBNI,BK,BUY,NET,102939,45271880000,4399.9799213523,45271880000.0,102939.0
2025-08-29,BBNI,DP,BUY,NET,69500,30681806000,4414.6483453237,30681806000.0,69500.0
2025-08-29,BBNI,YU,BUY,NET,41874,18576249000,4422.6594403444,18576249000.0,41874.0
2025-08-29,BBNI,PD,BUY,NET,29877,13094477000,4388.2977853346,13094477000.0,29877.0
2025-08-29,BBNI,RX,BUY,NET,20630,9025278000,4384.5983368154,9025278000.0,20630.0
2025-08-29,BBNI,AZ,BUY,NET,9051,4004249000,4414.4187082405,4004249000.0,9051.0
2025-08-29,BBNI,MG,BUY,NET,5850,2558070000,4374.6134663342,2558070000.0,5850.0
2025-08-29,BBNI,GW,BUY,NET,4517,1992659000,4411.4655744963,1992659000.0,4517.0
2025-08-29,BBNI,RF,BUY,NET,4005,1773005000,4426.9787765293,1773005000.0,4005.0
2025-08-29,BBNI,KZ,BUY,NET,3474,1519984000,4375.3137593552,1519984000.0,3474.0
2025-08-29,BBNI,AK,SELL,NET,57874,25621388000,4403.8936983934,-25621388000.0,-57874.0
2025-08-29,BBNI,CC,SELL,NET,47067,20798201000,4405.0388046442,-20798201000.0,-47067.0
2025-08-29,BBNI,ZP,SELL,NET,40250,17683454000,4396.4362001124,-17683454000.0,-40250.0
2025-08-29,BBNI,YP,SELL,NET,38535,17001225000,4406.1671927544,-17001225000.0,-38535.0
2025-08-29,BBNI,SQ,SELL,NET,34050,14930019000,4385.6744660804,-14930019000.0,-34050.0
2025-08-29,BBNI,XL,SELL,NET,15816,6938950000,4389.5404942501,-6938950000.0,-15816.0
2025-08-29,BBNI,DR,SELL,NET,12008,5280567000,4394.151728768,-5280567000.0,-12008.0
2025-08-29,BBNI,NI,SELL,NET,10295,4534076000,4400.721757872,-4534076000.0,-10295.0
2025-08-29,BBNI,IF,SELL,NET,8468,3719365000,4391.9125243944,-3719365000.0,-8468.0
2025-08-29,BBNI,BB,SELL,NET,8476,3623789000,4397.6382261411,-3623789000.0,-8476.0
