symbol,date,close,volume,source_date
AADI,2025-09-08,7075.0,9577300.0,2025-09-08
AALI,2025-09-08,7300.0,1349700.0,2025-09-08
ABBA,2025-09-08,43.0,1369000.0,2025-09-08
ABDA,2025-09-08,3400.0,200.0,2025-09-08
ABMM,2025-09-08,2940.0,767600.0,2025-09-08
ACES,2025-09-08,432.0,68998800.0,2025-09-08
ACRO,2025-09-08,83.0,10685600.0,2025-09-08
ACST,2025-09-08,139.0,16091400.0,2025-09-08
ADCP,2025-09-08,62.0,164755600.0,2025-09-08
ADES,2025-09-08,13425.0,42800.0,2025-09-08
ADHI,2025-09-08,282.0,30383600.0,2025-09-08
ADMF,2025-09-08,8975.0,50600.0,2025-09-08
ADMG,2025-09-08,147.0,1454500.0,2025-09-08
ADMR,2025-09-08,1000.0,26064500.0,2025-09-08
ADRO,2025-09-08,1720.0,123216100.0,2025-09-08
AEGS,2025-09-08,42.0,88014900.0,2025-09-08
AGAR,2025-09-08,250.0,49800.0,2025-09-08
AGII,2025-09-08,805.0,914500.0,2025-09-08
AGRO,2025-09-08,226.0,10400800.0,2025-09-08
AGRS,2025-09-08,75.0,19776100.0,2025-09-08
AHAP,2025-09-08,77.0,7764700.0,2025-09-08
AIMS,2025-09-08,320.0,41000.0,2025-09-08
AISA,2025-09-08,121.0,6984000.0,2025-09-08
AKKU,2025-09-08,,,2025-09-08
AKPI,2025-09-08,555.0,124800.0,2025-09-08
AKRA,2025-09-08,1220.0,16725500.0,2025-09-08
AKSI,2025-09-08,242.0,66500.0,2025-09-08
ALDO,2025-09-08,498.0,72000.0,2025-09-08
ALII,2025-09-08,535.0,2440200.0,2025-09-08
ALKA,2025-09-08,312.0,9900.0,2025-09-08
ALMI,2025-09-08,,,2025-09-08
ALTO,2025-09-08,,,2025-09-08
AMAG,2025-09-08,372.0,969200.0,2025-09-08
AMAN,2025-09-08,121.0,1956300.0,2025-09-08
AMAR,2025-09-08,204.0,1332300.0,2025-09-08
AMFG,2025-09-08,3210.0,22900.0,2025-09-08
AMIN,2025-09-08,220.0,215700.0,2025-09-08
AMMN,2025-09-08,8100.0,22209700.0,2025-09-08
AMMS,2025-09-08,214.0,5421300.0,2025-09-08
AMOR,2025-09-08,474.0,75200.0,2025-09-08
AMRT,2025-09-08,2080.0,21888800.0,2025-09-08
ANDI,2025-09-08,28.0,29904600.0,2025-09-08
ANJT,2025-09-08,1795.0,2028100.0,2025-09-08
ANTM,2025-09-08,3610.0,400454400.0,2025-09-08
APEX,2025-09-08,120.0,16951500.0,2025-09-08
APIC,2025-09-08,1125.0,3867300.0,2025-09-08
APII,2025-09-08,176.0,500.0,2025-09-08
APLI,2025-09-08,472.0,2800.0,2025-09-08
APLN,2025-09-08,104.0,40021000.0,2025-09-08
ARCI,2025-09-08,890.0,160322900.0,2025-09-08
AREA,2025-09-08,520.0,2854300.0,2025-09-08
ARGO,2025-09-08,1305.0,32700.0,2025-09-08
ARII,2025-09-08,264.0,41900.0,2025-09-08
ARKA,2025-09-08,37.0,14474000.0,2025-09-08
ARKO,2025-09-08,1310.0,656000.0,2025-09-08
ARMY,2025-09-08,,,2025-09-08
ARNA,2025-09-08,565.0,1255500.0,2025-09-08
ARTA,2025-09-08,3290.0,3900.0,2025-09-08
ARTI,2025-09-08,,,2025-09-08
ARTO,2025-09-08,2000.0,11045100.0,2025-09-08
ASBI,2025-09-08,438.0,3200.0,2025-09-08
ASDM,2025-09-08,540.0,4300.0,2025-09-08
ASGR,2025-09-08,1215.0,2228500.0,2025-09-08
ASHA,2025-09-08,46.0,24541700.0,2025-09-08
ASII,2025-09-08,5425.0,57081800.0,2025-09-08
ASJT,2025-09-08,109.0,40400.0,2025-09-08
ASLC,2025-09-08,97.0,143400100.0,2025-09-08
ASLI,2025-09-08,,,2025-09-08
ASMI,2025-09-08,31.0,1807100.0,2025-09-08
ASPI,2025-09-08,490.0,17205100.0,2025-09-08
ASPR,2025-09-08,,,2025-09-08
ASRI,2025-09-08,169.0,54870700.0,2025-09-08
ASRM,2025-09-08,276.0,7400.0,2025-09-08
ASSA,2025-09-08,850.0,12474800.0,2025-09-08
ATAP,2025-09-08,53.0,6650500.0,2025-09-08
ATIC,2025-09-08,446.0,381500.0,2025-09-08
ATLA,2025-09-08,63.0,1128839900.0,2025-09-08
AUTO,2025-09-08,2390.0,4608300.0,2025-09-08
AVIA,2025-09-08,424.0,4972400.0,2025-09-08
