date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-08-29,ASHA,-33420900.0,XL,0.583074680220322,106227800.0,10,6,16,0.375
2025-08-29,ASII,21485735000.0,BK,0.8104904504564603,103945405000.0,10,10,20,0.25
2025-08-29,ASJT,0.0,XL,0.9527721375761428,4905000.0,3,6,9,0.5555555555555556
2025-08-29,ASLC,382064300.0,CC,0.5757616622145458,1475459900.0,10,10,20,0.15
2025-08-29,ASMI,-102800.0,XC,0.5198327050178903,9066000.0,10,4,14,0.35714285714285715
2025-08-29,ASPI,-4207200.0,MG,0.5704505594881681,184548000.0,10,8,18,0.2222222222222222
2025-08-29,ASRI,-806779200.0,AT,0.509274518609927,2985465300.0,10,10,20,0.25
2025-08-29,ASRM,0.0,XL,0.9003584229390681,138800.0,3,2,5,0.8
2025-08-29,ASSA,367872500.0,BB,0.6589916295344672,2542378500.0,10,10,20,0.2
2025-08-29,ATAP,0.0,XL,0.6832591561202417,66921600.0,8,9,17,0.29411764705882354
2025-08-29,ATIC,-722400.0,ZP,0.6333565669862444,108862200.0,10,10,20,0.25
2025-08-29,ATLA,-900793100.0,XL,0.7236010688614058,12342973900.0,10,10,20,0.25
2025-08-29,AUTO,1131578000.0,SQ,0.47767080560370295,3048376000.0,10,10,20,0.25
2025-08-29,AVIA,725857600.0,BB,0.9677111963578239,5210481800.0,10,10,20,0.25
2025-08-29,AWAN,-12299400.0,AK,0.4811437551076832,98510200.0,10,10,20,0.25
2025-08-29,AXIO,-489000.0,PD,0.5196517742221671,10794100.0,10,9,19,0.2631578947368421
2025-08-29,AYAM,522900.0,AT,0.8145119403877689,2190719000.0,10,10,20,0.2
2025-08-29,AYLS,-12707300.0,DR,0.5951541706934217,100817800.0,10,10,20,0.2
2025-08-29,BABP,-14257800.0,YP,0.5987665022738458,821769300.0,10,10,20,0.2
2025-08-29,BABY,0.0,PO,0.682478838820295,52760000.0,8,9,17,0.29411764705882354
2025-08-29,BACA,-3031700.0,KK,0.44730962357585624,56370800.0,10,9,19,0.21052631578947367
2025-08-29,BAIK,21245600.0,YP,0.8452974757923114,278805200.0,10,10,20,0.25
2025-08-29,BAJA,-14429000.0,XL,0.5204462261199052,52257500.0,10,3,13,0.38461538461538464
2025-08-29,BALI,150000.0,MG,1.0,43301500.0,1,10,11,0.36363636363636365
2025-08-29,BANK,-37176000.0,HD,0.38105929154739565,186489000.0,10,10,20,0.15
2025-08-29,BAPA,47900.0,CP,0.4029482885765455,28438000.0,10,10,20,0.25
2025-08-29,BAPI,-54993000.0,XL,0.7416223696234755,465085700.0,10,10,20,0.25
2025-08-29,BATA,0.0,AO,0.9171513285437336,2197000.0,6,2,8,0.375
2025-08-29,BATR,4696600.0,HD,0.8150250561887186,268320000.0,8,10,18,0.2777777777777778
2025-08-29,BAUT,925000.0,GR,0.9417367490455147,159918000.0,9,10,19,0.21052631578947367
2025-08-29,BAYU,394500.0,PC,0.5257212911557592,65750000.0,9,10,19,0.2631578947368421
2025-08-29,BBCA,-305980117500.0,YP,0.3823754691896759,174624975000.0,10,10,20,0.2
2025-08-29,BBHI,239378000.0,CC,0.9374753103181176,2531861000.0,10,10,20,0.3
2025-08-29,BBKP,-1718457100.0,CC,0.57992565216232,6514285200.0,10,10,20,0.3
2025-08-29,BBLD,0.0,LG,0.8773395019076516,9735000.0,8,5,13,0.38461538461538464
2025-08-29,BBNI,8366623000.0,BK,0.5910900461009962,45271880000.0,10,10,20,0.25
2025-08-29,BBRI,11609060000.0,BK,0.6094197633848827,147961198000.0,10,10,20,0.2
2025-08-29,BBRM,-53827900.0,YP,0.44130810023213984,119678300.0,10,10,20,0.25
2025-08-29,BBSI,0.0,LG,1.0,17688000.0,1,4,5,0.2
2025-08-29,BBSS,0.0,CC,0.911981958425938,3956200.0,4,6,10,0.4
2025-08-29,BBTN,3016762500.0,KZ,0.8882149740932697,11475152500.0,10,10,20,0.2
2025-08-29,BBYB,-1052228000.0,AK,0.43108421182265644,3959418200.0,10,10,20,0.25
2025-08-29,BCAP,124408400.0,CC,0.5300901818469255,716017900.0,10,10,20,0.25
2025-08-29,BCIP,41223100.0,HP,0.4477111710980276,118925000.0,10,10,20,0.25
2025-08-29,BDKR,57205600.0,AZ,0.6300268202983749,412070300.0,10,10,20,0.3
2025-08-29,BDMN,-120334000.0,YP,0.4915759341499447,780325000.0,10,9,19,0.2631578947368421
2025-08-29,BEEF,-108368000.0,AT,0.47299536524108127,647191800.0,10,10,20,0.15
2025-08-29,BEER,-3154600.0,MG,0.7225961632704624,86125300.0,10,10,20,0.15
2025-08-29,BEKS,-56149300.0,SQ,0.6166474915348963,564502300.0,10,10,20,0.25
2025-08-29,BELI,-110400.0,SQ,0.7461001229187618,40737200.0,10,9,19,0.2631578947368421
2025-08-29,BELL,-23595700.0,OD,0.6936191412845821,546715800.0,10,10,20,0.25
2025-08-29,BESS,2540000.0,PG,0.9993822753375756,160475500.0,3,10,13,0.38461538461538464
2025-08-29,BEST,-108801300.0,XC,0.6276349097395411,1944068300.0,10,10,20,0.25
2025-08-29,BFIN,-2248660000.0,LG,0.5890585599090559,6502074000.0,10,10,20,0.25
2025-08-29,BGTG,39209200.0,XL,0.33434029610698274,513658100.0,10,10,20,0.25
2025-08-29,BHAT,-52919500.0,IH,0.5179633815055797,332845000.0,10,10,20,0.2
2025-08-29,BHIT,-132293700.0,YP,0.35914251588029217,209691600.0,10,10,20,0.15
2025-08-29,BIKE,58642500.0,MI,0.3787041417455416,198824000.0,10,10,20,0.15
2025-08-29,BIMA,0.0,XL,0.743540621612765,6879600.0,6,6,12,0.4166666666666667
2025-08-29,BINA,0.0,RS,0.9822366825640612,570240000.0,7,9,16,0.3125
2025-08-29,BINO,12800.0,YP,0.9969874682779043,82818000.0,3,10,13,0.38461538461538464
2025-08-29,BIPI,-58296800.0,AZ,0.6065163789528791,698685600.0,10,10,20,0.25
2025-08-29,BIPP,0.0,XL,0.9605774935724174,1405500.0,4,3,7,0.5714285714285714
2025-08-29,BIRD,-141228000.0,NI,0.4329626822008516,373063500.0,10,10,20,0.3
2025-08-29,BISI,-88500.0,CC,0.8168401043653027,97013000.0,10,6,16,0.3125
2025-08-29,BJBR,3066500.0,LG,0.5463261249755047,326686500.0,10,10,20,0.25
2025-08-29,BJTM,-131849000.0,PD,0.3743461423599214,557364500.0,10,10,20,0.3
2025-08-29,BKDP,0.0,PF,0.6648199445983379,2475000.0,7,4,11,0.36363636363636365
2025-08-29,BKSL,-1395327800.0,LG,0.5706767742391526,16657844300.0,10,10,20,0.25
2025-08-29,BKSW,-4576900.0,CC,0.4165777091272511,167535600.0,10,10,20,0.3
2025-08-29,BLES,-34121000.0,BQ,0.4259197437706678,129796000.0,10,10,20,0.25
2025-08-29,BLTA,1989000.0,MG,0.4745884133978535,78577400.0,9,10,19,0.21052631578947367
2025-08-29,BLTZ,0.0,SH,1.0,720000.0,1,1,2,0.5
2025-08-29,BLUE,-522400.0,CC,0.5721748191469629,27785600.0,10,5,15,0.3333333333333333
2025-08-29,BMAS,-330000.0,CC,0.5634204275534441,65175000.0,10,8,18,0.2777777777777778
2025-08-29,BMBL,10944100.0,GR,0.5599365147643963,221340000.0,10,10,20,0.25
2025-08-29,BMHS,-5206800.0,PD,0.5590208911994479,104261000.0,10,7,17,0.35294117647058826
2025-08-29,BMRI,-17868590000.0,SQ,0.44190373437242525,52312860000.0,10,10,20,0.15
2025-08-29,BMSR,0.0,NI,0.9681969171443242,15879200.0,7,6,13,0.38461538461538464
2025-08-29,BMTR,-183305600.0,XC,0.5718053671653941,756869900.0,10,10,20,0.15
2025-08-29,BNBA,13562500.0,CC,0.8317539884668784,118297500.0,7,10,17,0.29411764705882354
2025-08-29,BNBR,-102340500.0,YP,0.4875593513475781,246498000.0,10,3,13,0.3076923076923077
2025-08-29,BNGA,266274500.0,GR,0.6482476777573205,2161374000.0,10,10,20,0.2
2025-08-29,BNII,3792200.0,XL,0.7239643073983412,196051000.0,10,10,20,0.2
2025-08-29,BNLI,44892000.0,ZP,0.9978854572727471,862345000.0,3,10,13,0.3076923076923077
2025-08-29,BOAT,24661600.0,XC,0.5583528895544311,236638900.0,10,10,20,0.25
2025-08-29,BOBA,0.0,PD,0.9290030733105424,8122000.0,8,6,14,0.35714285714285715
2025-08-29,BOGA,784500.0,HD,0.6039543707086138,63176500.0,10,10,20,0.05
2025-08-29,BOLA,-16160400.0,RF,0.46692115751960617,131501100.0,10,10,20,0.25
2025-08-29,BOLT,0.0,LG,0.9584795321637427,2351500.0,3,3,6,0.6666666666666666
2025-08-29,BPFI,0.0,CC,0.9334305150631681,4299200.0,7,2,9,0.5555555555555556
2025-08-29,BPII,0.0,AO,0.49898837433361165,8522500.0,9,6,15,0.06666666666666667
2025-08-29,BPTR,0.0,XL,0.9620149456238128,15831900.0,5,6,11,0.36363636363636365
2025-08-29,BRAM,0.0,EP,0.7475845410628019,1022500.0,3,3,6,0.5
2025-08-29,BREN,-2681110000.0,AK,0.5353566909514393,44734027500.0,10,10,20,0.25
2025-08-29,BRIS,2806133000.0,KZ,0.9002027793436892,14152887000.0,10,10,20,0.25
2025-08-29,BRMS,2334918400.0,LG,0.491906426679023,12399959000.0,10,10,20,0.2
2025-08-29,BRNA,0.0,YU,0.997820296654693,51112500.0,3,7,10,0.3
2025-08-29,BRPT,-3652687000.0,AK,0.5096206877228757,30806701000.0,10,10,20,0.2
2025-08-29,BSBK,-2289485000.0,MG,0.582589269962308,7434710900.0,10,10,20,0.2
2025-08-29,BSDE,-3187481500.0,PD,0.6392943410817117,14191959500.0,10,10,20,0.2
2025-08-29,BSIM,0.0,KK,0.8842739491603979,8723000.0,6,8,14,0.35714285714285715
2025-08-29,BSML,14332000.0,BR,0.8788455600585444,995577800.0,10,10,20,0.15
2025-08-29,BSSR,15602000.0,NI,0.7328573272348269,1642150000.0,10,10,20,0.25
2025-08-29,BTEK,-44777600.0,CC,0.4934446015379841,173590200.0,10,10,19,0.25
2025-08-29,BTON,0.0,YP,0.5608955104329368,3925000.0,7,4,11,0.45454545454545453
