date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-09-02,AADI,7825040000.0,AK,0.4852238276316148,12301697500.0,10,10,20,0.25
2025-09-02,AALI,339460000.0,CP,0.9127700191787254,5470407500.0,10,10,20,0.15
2025-09-02,ABBA,-21000.0,AK,0.5613463323530123,15523200.0,10,8,18,0.2777777777777778
2025-09-02,ABMM,-14462000.0,XC,0.5001643618428938,256716000.0,10,10,20,0.25
2025-09-02,ACES,-2757888800.0,CC,0.36505775070983604,3411295000.0,10,8,18,0.2777777777777778
2025-09-02,ACRO,13334500.0,HP,0.43721105570158453,112900000.0,10,10,20,0.25
2025-09-02,ACST,7541400.0,AT,0.46622456240473725,121221000.0,10,10,20,0.2
2025-09-02,ADCP,175246300.0,XL,0.6517052544636844,934177900.0,10,10,20,0.25
2025-09-02,ADES,0.0,SQ,0.6323990743121625,38150000.0,7,8,15,0.3333333333333333
2025-09-02,ADHI,18987600.0,AT,0.7777647091097379,1976525000.0,10,10,20,0.2
2025-09-02,ADMF,0.0,PD,0.8149474289272627,125132500.0,8,6,14,0.35714285714285715
2025-09-02,ADMG,-147000.0,KK,0.5447041811197558,17735000.0,10,9,19,0.2631578947368421
2025-09-02,ADMR,-1218088500.0,CC,0.5317396351412609,2167669500.0,10,10,20,0.15
2025-09-02,ADRO,-4443290500.0,XL,0.4153091552617707,8724817000.0,10,10,20,0.25
2025-09-02,AEGS,-132347400.0,XL,0.6719813236329292,1324926100.0,10,6,16,0.25
2025-09-02,AGAR,-49800.0,CC,0.7343148510839468,7274400.0,10,3,13,0.3076923076923077
2025-09-02,AGII,-39140500.0,SQ,0.5488127281643328,157326000.0,10,7,17,0.23529411764705882
2025-09-02,AGRO,-55895400.0,XL,0.3666790697183452,148535400.0,10,10,20,0.2
2025-09-02,AGRS,13671200.0,NI,0.7121239467925634,198843600.0,10,10,20,0.3
2025-09-02,AHAP,12272500.0,XL,0.7287303410314404,251832700.0,10,10,20,0.2
2025-09-02,AIMS,0.0,XL,0.9918032786885246,10144000.0,3,3,6,0.3333333333333333
2025-09-02,AISA,-115592800.0,YU,0.5196978053050408,750392200.0,10,6,16,0.3125
2025-09-02,AKPI,0.0,NI,0.9355871886120997,128296000.0,9,3,12,0.4166666666666667
2025-09-02,AKRA,-853091000.0,DP,0.6218866469163614,2894801000.0,10,10,20,0.2
2025-09-02,AKSI,0.0,SQ,0.7408966293924261,9722000.0,8,8,16,0.3125
2025-09-02,ALDO,0.0,NI,0.882296159626593,11354000.0,5,5,10,0.3
2025-09-02,ALII,0.0,AZ,0.7548933524348078,251370000.0,7,10,17,0.23529411764705882
2025-09-02,ALKA,0.0,YP,0.7866530258912411,1841200.0,9,5,14,0.21428571428571427
2025-09-02,AMAG,0.0,CC,0.8545872017570131,13440800.0,6,4,10,0.5
2025-09-02,AMAN,0.0,YP,0.4314482743653321,21622600.0,10,10,20,0.25
2025-09-02,AMAR,-42000.0,IF,0.5623685001502855,15329600.0,10,8,18,0.2777777777777778
2025-09-02,AMFG,0.0,DR,0.6816806474625471,35197000.0,6,10,16,0.1875
2025-09-02,AMIN,18000.0,CP,0.8188161272755562,155124400.0,7,10,17,0.29411764705882354
2025-09-02,AMMN,-295042500.0,YU,0.4954180772280995,12292485000.0,10,10,20,0.2
2025-09-02,AMMS,-3056900.0,XL,0.8348219045841934,296764900.0,10,10,20,0.25
2025-09-02,AMOR,-2181200.0,XL,0.7416301678579117,46422800.0,10,3,13,0.38461538461538464
2025-09-02,AMRT,-3892487000.0,BQ,0.437032202461131,8504392000.0,10,8,18,0.2777777777777778
2025-09-02,ANDI,-7263100.0,XL,0.5261524067736001,102916000.0,10,10,20,0.3
2025-09-02,ANJT,-4137500.0,OD,0.8303350749447733,1524930500.0,10,7,17,0.29411764705882354
2025-09-02,ANTM,109923920000.0,AK,0.666338968689567,157633112000.0,10,10,20,0.25
2025-09-02,APEX,34778900.0,CC,0.4383841784733242,325917900.0,10,10,20,0.25
2025-09-02,APIC,-51428000.0,TP,0.5076125180572956,331958500.0,10,10,20,0.1
2025-09-02,APII,0.0,YP,0.9829240526914945,2497000.0,3,5,8,0.25
2025-09-02,APLI,0.0,BQ,0.7460978147762747,94400.0,4,2,6,0.3333333333333333
2025-09-02,APLN,-111823000.0,XL,0.44714021974647533,354495100.0,10,10,20,0.25
2025-09-02,ARCI,3301119000.0,CC,0.5983479566645055,13722808000.0,10,10,20,0.3
2025-09-02,AREA,-5076500.0,YP,0.5779128982221692,213634500.0,10,6,16,0.3125
2025-09-02,ARGO,0.0,XC,0.5532910388580492,12168000.0,10,10,20,0.25
2025-09-02,ARII,-51200.0,KK,0.6463700234192038,6452800.0,10,6,16,0.3125
2025-09-02,ARKA,2903600.0,XL,0.9808173305496414,157141200.0,8,10,18,0.2777777777777778
2025-09-02,ARKO,281903500.0,NI,0.7411318417122325,1466622500.0,10,10,20,0.2
2025-09-02,ARNA,-3209000.0,YB,0.6839136514100813,395500000.0,10,4,14,0.35714285714285715
2025-09-02,ARTA,0.0,CC,0.8595718840139669,3740000.0,3,4,7,0.5714285714285714
2025-09-02,ARTO,-924611000.0,XL,0.5065536352011959,2473527000.0,10,10,20,0.2
2025-09-02,ASBI,0.0,XC,0.7339405560882071,660600.0,6,2,8,0.5
2025-09-02,ASDM,0.0,XL,0.9511756392136709,6333000.0,4,4,8,0.5
2025-09-02,ASGR,14375500.0,XC,0.4620531079723686,88027500.0,8,10,18,0.2777777777777778
2025-09-02,ASHA,6195600.0,HD,0.5978743710895615,126738000.0,10,10,20,0.3
2025-09-02,ASII,1348687500.0,YU,0.5755655413758641,15990822500.0,10,10,20,0.2
2025-09-02,ASJT,0.0,CC,0.9165612846269475,2807400.0,8,4,12,0.4166666666666667
2025-09-02,ASLC,-485135800.0,MG,0.340586669955335,1039432000.0,10,10,20,0.2
2025-09-02,ASMI,-830000.0,YP,0.5719989303878403,12595800.0,10,5,15,0.3333333333333333
2025-09-02,ASPI,0.0,YP,0.9149157833024354,31919200.0,6,9,15,0.3333333333333333
2025-09-02,ASRI,327609300.0,AT,0.6200053251402754,1012140400.0,10,10,20,0.25
2025-09-02,ASRM,0.0,XL,0.633023623003583,1096000.0,6,3,9,0.4444444444444444
2025-09-02,ASSA,-38926000.0,YP,0.47964093959663223,613863500.0,10,10,20,0.25
2025-09-02,ATAP,17100.0,YB,0.8197947469125065,20035500.0,4,10,14,0.2857142857142857
2025-09-02,ATIC,-466600.0,CC,0.6658842324632843,46606400.0,10,10,20,0.2
2025-09-02,ATLA,-364662100.0,MG,0.3777875594022899,504582400.0,10,10,20,0.25
2025-09-02,AUTO,-37496000.0,NI,0.4376900926020202,641441000.0,10,10,20,0.25
2025-09-02,AVIA,-98061400.0,BB,0.9003086119450232,8088361600.0,10,10,20,0.2
2025-09-02,AWAN,-1206200.0,BK,0.7043160793858485,82222200.0,10,7,17,0.23529411764705882
2025-09-02,AXIO,-96900.0,YP,0.7074946124990024,51657000.0,10,10,20,0.25
2025-09-02,AYAM,-73483000.0,AG,0.8604662114763332,5156932900.0,10,10,20,0.15
2025-09-02,AYLS,103000.0,XC,0.669244482582789,33750400.0,9,10,19,0.2631578947368421
2025-09-02,BABP,10669600.0,NI,0.5697744505580631,222661300.0,10,10,20,0.25
2025-09-02,BABY,-230400.0,XL,0.624997084442325,27975000.0,10,7,17,0.29411764705882354
2025-09-02,BACA,-32392300.0,XL,0.4206435408231581,90976400.0,10,6,16,0.3125
2025-09-02,BAIK,-2070800.0,XC,0.5125491206222366,16046800.0,10,9,19,0.2631578947368421
2025-09-02,BAJA,-162900.0,XC,0.3889579105642345,26646500.0,10,8,18,0.2777777777777778
2025-09-02,BALI,3977000.0,CP,0.9752083743519065,282124500.0,9,10,19,0.21052631578947367
2025-09-02,BANK,-23237000.0,PO,0.6100677046768159,357750000.0,10,10,20,0.2
2025-09-02,BAPA,4993500.0,XL,0.7393391722786758,1170570600.0,10,10,20,0.25
2025-09-02,BAPI,1021900.0,XL,0.6053494466950428,46210600.0,10,10,20,0.25
2025-09-02,BATA,0.0,SQ,0.7528878491007457,260000.0,4,4,8,0.5
2025-09-02,BATR,19600.0,YB,0.4513236279036977,19889000.0,9,10,19,0.2631578947368421
2025-09-02,BAUT,13806000.0,GR,0.816815468523439,336542700.0,7,10,17,0.29411764705882354
2025-09-02,BAYU,0.0,YP,0.8573712387686453,589099500.0,9,4,13,0.3076923076923077
2025-09-02,BBCA,-107308290000.0,DX,0.373380967984009,116461407500.0,10,10,20,0.25
2025-09-02,BBHI,296711500.0,CP,0.7870003184378584,1354525500.0,10,10,20,0.25
2025-09-02,BBKP,-420707400.0,XC,0.513011204173661,1645740200.0,10,10,20,0.25
2025-09-02,BBLD,0.0,YU,0.9543060825572036,32305000.0,9,7,16,0.25
2025-09-02,BBMD,0.0,OD,1.0,633000.0,1,2,3,0.6666666666666666
2025-09-02,BBNI,158671000.0,NI,0.7321501046028022,23716212000.0,10,10,20,0.2
2025-09-02,BBRI,-18587760000.0,OD,0.4501594292813615,42832904000.0,10,10,20,0.2
2025-09-02,BBRM,10065600.0,XL,0.9268360833507905,223607600.0,10,10,20,0.25
2025-09-02,BBSI,0.0,LG,1.0,87289000.0,2,5,7,0.42857142857142855
2025-09-02,BBSS,0.0,CC,0.8305037842624493,7343200.0,6,6,12,0.4166666666666667
2025-09-02,BBTN,-1952687500.0,KZ,0.5247935178307902,2693971000.0,10,10,20,0.25
2025-09-02,BBYB,-831977600.0,YP,0.4327253064667513,2481745000.0,10,10,20,0.25
2025-09-02,BCAP,46985100.0,CP,0.5768308203375263,381570700.0,10,10,20,0.25
2025-09-02,BCIP,366300.0,XL,0.6311271849590094,73806500.0,10,10,20,0.25
2025-09-02,BDKR,-76432900.0,AK,0.4757813099418173,619598900.0,10,10,20,0.25
2025-09-02,BDMN,-23680000.0,PD,0.4867731058221734,215982000.0,10,10,20,0.25
2025-09-02,BEEF,-7408200.0,CP,0.7213814135475084,420107600.0,10,10,20,0.25
2025-09-02,BEER,28000.0,MG,0.4570631810582381,14481000.0,8,10,18,0.2777777777777778
2025-09-02,BEKS,-186896700.0,SQ,0.5950034742321151,1128578400.0,10,5,15,0.3333333333333333
