broker_source_date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-09-04,AADI,6809832500,AK,0.3226688761075931,15865890000,10,10,20,0.0
2025-09-04,AALI,267255000,YU,0.312793191677184,1133867500,10,10,20,0.0
2025-09-04,ABBA,0,AK,0.7756614668620184,37800000,9,5,14,0.0
2025-09-04,ABMM,15616000,AK,0.4563575036096649,228516000,10,10,20,0.0
2025-09-04,ACES,26933200,ZP,0.28804567986489404,3921478600,10,10,20,0.0
2025-09-04,ACRO,-27663500,CC,0.3194152512769314,197781700,10,10,20,0.0
2025-09-04,ACST,-299609800,CC,0.23881568910200268,316980900,10,9,19,0.0
2025-09-04,ADCP,-285525600,PD,0.26882721524124015,597876700,10,10,20,0.0
2025-09-04,ADES,0,XL,0.5815985412551284,19137500,5,3,8,0.0
2025-09-04,ADHI,448943200,ZP,0.2815706493591282,1119605600,10,10,20,0.0
2025-09-04,ADMF,0,PD,0.5133359986292764,89880000,10,6,16,0.0
2025-09-04,ADMG,-1252500,KK,0.46472862099450135,50938300,10,7,17,0.0
2025-09-04,ADMR,-1574454000,YP,0.37078232477850176,8310173500,10,10,20,0.0
2025-09-04,ADRO,10728786000,ZP,0.354069148526497,29536960000,10,10,20,0.0
2025-09-04,AEGS,-66751300,XC,0.2582636473408186,171963300,10,10,20,0.0
2025-09-04,AGAR,0,OD,0.9682266678736309,10696000,5,7,12,0.0
2025-09-04,AGII,-10932000,PD,0.36489338195493853,123028000,10,10,20,0.0
2025-09-04,AGRO,-45338800,NI,0.41625796797648007,353621800,10,10,20,0.0
2025-09-04,AGRS,-40405300,YP,0.3267413522584556,195356400,10,7,17,0.0
2025-09-04,AHAP,-40341600,CC,0.1658531047047026,50543800,10,10,20,0.0
2025-09-04,AIMS,0,YJ,0.5457402234636871,3126000,5,3,8,0.0
2025-09-04,AISA,63825700,CC,0.4189858458478325,414206600,10,10,20,0.0
2025-09-04,AKPI,0,YP,0.35973597359735976,2071000,6,2,8,0.0
2025-09-04,AKRA,1210093000,DP,0.2614815698569828,3530782500,10,10,20,0.0
2025-09-04,AKSI,-48200,XL,0.39491634221403676,13165800,10,6,16,0.0
2025-09-04,ALDO,0,CC,0.8630519518296585,14835000,2,7,9,0.0
2025-09-04,ALII,0,KI,0.9376413515635799,637635500,6,8,14,0.0
2025-09-04,ALKA,0,YP,0.4305222088835534,573800,4,2,6,0.0
2025-09-04,AMAG,0,XL,0.5087911535561699,10122400,5,7,12,0.0
2025-09-04,AMAN,221400,PD,0.4565739763965408,54057400,7,10,17,0.0
2025-09-04,AMAR,-1985200,XL,0.3982791838389596,54223600,10,10,20,0.0
2025-09-04,AMFG,0,AO,0.5817440675498617,11988000,7,7,14,0.0
2025-09-04,AMIN,-220400,GR,0.5509478929693424,45772200,10,8,18,0.0
2025-09-04,AMMN,1226610000,BK,0.6446740283666507,64743982500,10,10,20,0.0
2025-09-04,AMMS,71730700,CP,0.40951752991020623,288679800,10,10,20,0.0
2025-09-04,AMOR,0,CC,0.5079024116657319,18111800,10,4,14,0.0
2025-09-04,AMRT,-4830356000,BQ,0.29586637374023084,9932833000,10,8,18,0.0
2025-09-04,ANDI,-38781200,XL,0.20270378310039622,76062000,10,2,12,0.0
2025-09-04,ANJT,0,YP,0.5512293709419619,781823500,7,8,15,0.0
2025-09-04,ANTM,26845160000,BK,0.2864635163659357,45505493000,10,10,20,0.0
2025-09-04,APEX,-5266800,PD,0.2477752452647468,148191500,10,10,20,0.0
