symbol,date,close,volume,source_date
BEBS,2025-09-05,,,2025-09-05
BEEF,2025-09-05,322.0,31387600.0,2025-09-04
BEER,2025-09-05,107.0,1701300.0,2025-09-04
BEKS,2025-09-05,26.0,136431600.0,2025-09-04
BELI,2025-09-05,368.0,253800.0,2025-09-04
BELL,2025-09-05,71.0,338739300.0,2025-09-04
BESS,2025-09-05,1040.0,106700.0,2025-09-04
BEST,2025-09-05,118.0,14288700.0,2025-09-04
BFIN,2025-09-05,760.0,8292100.0,2025-09-04
BGTG,2025-09-05,110.0,29960300.0,2025-09-04
BHAT,2025-09-05,895.0,1386000.0,2025-09-04
BHIT,2025-09-05,37.0,18598300.0,2025-09-04
BIKA,2025-09-05,,,2025-09-05
BIKE,2025-09-05,1000.0,8657200.0,2025-09-04
BIMA,2025-09-05,76.0,162100.0,2025-09-04
BINA,2025-09-05,4410.0,6800.0,2025-09-04
BINO,2025-09-05,120.0,571000.0,2025-09-04
BIPI,2025-09-05,81.0,55088600.0,2025-09-04
BIPP,2025-09-05,49.0,47000.0,2025-09-04
BIRD,2025-09-05,1790.0,876000.0,2025-09-04
BISI,2025-09-05,890.0,64800.0,2025-09-04
BJBR,2025-09-05,775.0,7256900.0,2025-09-04
BJTM,2025-09-05,515.0,3281700.0,2025-09-04
BKDP,2025-09-05,42.0,2371400.0,2025-09-04
BKSL,2025-09-05,133.0,216460900.0,2025-09-04
BKSW,2025-09-05,68.0,7968500.0,2025-09-04
BLES,2025-09-05,158.0,4371600.0,2025-09-04
BLOG,2025-09-05,,,2025-09-05
BLTA,2025-09-05,41.0,28808100.0,2025-09-04
BLTZ,2025-09-05,1800.0,200.0,2025-09-01
BLUE,2025-09-05,318.0,62200.0,2025-09-04
BMAS,2025-09-05,735.0,94400.0,2025-09-04
BMBL,2025-09-05,44.0,8695100.0,2025-09-04
BMHS,2025-09-05,185.0,4099600.0,2025-09-04
BMRI,2025-09-05,4680.0,88735300.0,2025-09-04
BMSR,2025-09-05,252.0,23100.0,2025-09-04
BMTR,2025-09-05,148.0,75709000.0,2025-09-04
BNBA,2025-09-05,775.0,301500.0,2025-09-04
BNBR,2025-09-05,31.0,237339700.0,2025-09-04
BNGA,2025-09-05,1710.0,1409100.0,2025-09-04
BNII,2025-09-05,210.0,996600.0,2025-09-04
BNLI,2025-09-05,3160.0,198700.0,2025-09-04
BOAT,2025-09-05,121.0,6824900.0,2025-09-04
BOBA,2025-09-05,183.0,275600.0,2025-09-04
BOGA,2025-09-05,570.0,480600.0,2025-09-04
BOLA,2025-09-05,199.0,2381100.0,2025-09-04
BOLT,2025-09-05,1060.0,10800.0,2025-09-04
BOSS,2025-09-05,,,2025-09-05
BPFI,2025-09-05,338.0,159800.0,2025-09-04
BPII,2025-09-05,570.0,116000.0,2025-09-04
BPTR,2025-09-05,96.0,210100.0,2025-09-04
BRAM,2025-09-05,5125.0,800.0,2025-09-04
BREN,2025-09-05,8625.0,15343800.0,2025-09-04
BRIS,2025-09-05,2720.0,9615500.0,2025-09-04
BRMS,2025-09-05,494.0,724826900.0,2025-09-04
BRNA,2025-09-05,725.0,20300.0,2025-09-04
BRPT,2025-09-05,2200.0,49983300.0,2025-09-04
BRRC,2025-09-05,,,2025-09-05
BSBK,2025-09-05,77.0,205267600.0,2025-09-04
BSDE,2025-09-05,1120.0,22857900.0,2025-09-04
BSIM,2025-09-05,885.0,30100.0,2025-09-04
BSML,2025-09-05,105.0,23906100.0,2025-09-04
BSSR,2025-09-05,3970.0,323400.0,2025-09-04
BSWD,2025-09-05,1410.0,200.0,2025-09-04
BTEK,2025-09-05,16.0,57018900.0,2025-09-04
BTEL,2025-09-05,,,2025-09-05
BTON,2025-09-05,378.0,17600.0,2025-09-04
BTPN,2025-09-05,2120.0,5200.0,2025-09-04
BTPS,2025-09-05,1460.0,8204800.0,2025-09-04
BUAH,2025-09-05,1435.0,144700.0,2025-09-04
BUDI,2025-09-05,220.0,19200.0,2025-09-04
BUKA,2025-09-05,175.0,203558200.0,2025-09-04
BUKK,2025-09-05,880.0,13900.0,2025-09-04
BULL,2025-09-05,153.0,86314400.0,2025-09-04
BUMI,2025-09-05,112.0,4498155400.0,2025-09-04
BUVA,2025-09-05,356.0,152265700.0,2025-09-04
BVIC,2025-09-05,111.0,12184200.0,2025-09-04
BWPT,2025-09-05,,,2025-09-05
BYAN,2025-09-05,18150.0,10000.0,2025-09-04
CAKK,2025-09-05,142.0,983400.0,2025-09-04
CAMP,2025-09-05,212.0,1102000.0,2025-09-04
CANI,2025-09-05,43.0,534600.0,2025-09-04
CARE,2025-09-05,300.0,20143900.0,2025-09-04
CARS,2025-09-05,135.0,191437200.0,2025-09-04
CASA,2025-09-05,1130.0,4259800.0,2025-09-04
CASH,2025-09-05,91.0,5656800.0,2025-09-04
CASS,2025-09-05,2580.0,116600.0,2025-09-04
CBDK,2025-09-05,,,2025-09-05
CBMF,2025-09-05,,,2025-09-05
CBPE,2025-09-05,192.0,158600.0,2025-09-04
CBRE,2025-09-05,362.0,18547100.0,2025-09-04
CBUT,2025-09-05,1510.0,78000.0,2025-09-04
CCSI,2025-09-05,380.0,945100.0,2025-09-04
CDIA,2025-09-05,,,2025-09-05
CEKA,2025-09-05,2660.0,6800.0,2025-09-04
CENT,2025-09-05,120.0,15587700.0,2025-09-04
CFIN,2025-09-05,316.0,800300.0,2025-09-04
CGAS,2025-09-05,153.0,90352700.0,2025-09-04
CHEK,2025-09-05,,,2025-09-05
CHEM,2025-09-05,99.0,17777800.0,2025-09-04
CHIP,2025-09-05,1380.0,74800.0,2025-09-04
CINT,2025-09-05,159.0,121100.0,2025-09-04
CITA,2025-09-05,4120.0,126900.0,2025-09-04
CITY,2025-09-05,105.0,9060700.0,2025-09-04
CLAY,2025-09-05,1505.0,135100.0,2025-09-04
CLEO,2025-09-05,555.0,11382200.0,2025-09-04
CLPI,2025-09-05,1245.0,105000.0,2025-09-04
CMNP,2025-09-05,1350.0,54600.0,2025-09-04
CMNT,2025-09-05,815.0,26676300.0,2025-09-04
CMPP,2025-09-05,93.0,37100.0,2025-09-04
CMRY,2025-09-05,4980.0,374900.0,2025-09-04
CNKO,2025-09-05,108.0,134081400.0,2025-09-04
CNMA,2025-09-05,132.0,26964400.0,2025-09-04
CNTX,2025-09-05,,,2025-09-05
COAL,2025-09-05,59.0,53801300.0,2025-09-04
COCO,2025-09-05,615.0,10590500.0,2025-09-04
COIN,2025-09-05,,,2025-09-05
COWL,2025-09-05,,,2025-09-05
CPIN,2025-09-05,4520.0,8489900.0,2025-09-04
CPRI,2025-09-05,,,2025-09-05
CPRO,2025-09-05,58.0,389544700.0,2025-09-04
CRAB,2025-09-05,238.0,875100.0,2025-09-04
CRSN,2025-09-05,113.0,1191900.0,2025-09-04
CSAP,2025-09-05,292.0,155800.0,2025-09-04
CSIS,2025-09-05,119.0,2561600.0,2025-09-04
CSMI,2025-09-05,398.0,499900.0,2025-09-04
CSRA,2025-09-05,860.0,2141500.0,2025-09-04
CTBN,2025-09-05,5125.0,100.0,2025-09-03
CTRA,2025-09-05,990.0,32893400.0,2025-09-04
CTTH,2025-09-05,42.0,22300.0,2025-09-04
CUAN,2025-09-05,1530.0,56909500.0,2025-09-04
