symbol,date,close,volume,source_date
AADI,2025-09-03,7175.0,30661000.0,2025-09-03
AALI,2025-09-03,7300.0,1578400.0,2025-09-03
ABBA,2025-09-03,42.0,734200.0,2025-09-03
ABDA,2025-09-03,3400.0,100.0,2025-09-01
ABMM,2025-09-03,2960.0,669500.0,2025-09-03
ACES,2025-09-03,436.0,75954900.0,2025-09-03
ACRO,2025-09-03,84.0,10604400.0,2025-09-03
ACST,2025-09-03,156.0,149197900.0,2025-09-03
ADCP,2025-09-03,69.0,1511227000.0,2025-09-03
ADES,2025-09-03,13675.0,10900.0,2025-09-03
ADHI,2025-09-03,294.0,130272900.0,2025-09-03
ADMF,2025-09-03,9000.0,31400.0,2025-09-03
ADMG,2025-09-03,150.0,5097600.0,2025-09-03
ADMR,2025-09-03,1025.0,33131700.0,2025-09-03
ADRO,2025-09-03,1730.0,80794900.0,2025-09-03
AEGS,2025-09-03,46.0,438976100.0,2025-09-03
AGAR,2025-09-03,250.0,29500.0,2025-09-03
AGII,2025-09-03,835.0,382100.0,2025-09-03
AGRO,2025-09-03,236.0,6693400.0,2025-09-03
AGRS,2025-09-03,78.0,5399900.0,2025-09-03
AHAP,2025-09-03,79.0,10914300.0,2025-09-03
AIMS,2025-09-03,326.0,10500.0,2025-09-03
AISA,2025-09-03,121.0,8303300.0,2025-09-03
AKKU,2025-09-03,,,2025-09-03
AKPI,2025-09-03,555.0,9900.0,2025-09-03
AKRA,2025-09-03,1235.0,20502900.0,2025-09-03
AKSI,2025-09-03,248.0,87800.0,2025-09-03
ALDO,2025-09-03,500.0,119300.0,2025-09-03
ALII,2025-09-03,530.0,1554900.0,2025-09-03
ALKA,2025-09-03,318.0,65500.0,2025-09-03
ALMI,2025-09-03,,,2025-09-03
ALTO,2025-09-03,,,2025-09-03
AMAG,2025-09-03,370.0,97300.0,2025-09-03
AMAN,2025-09-03,125.0,5726100.0,2025-09-03
AMAR,2025-09-03,208.0,382900.0,2025-09-03
AMFG,2025-09-03,3330.0,50100.0,2025-09-03
AMIN,2025-09-03,226.0,1459100.0,2025-09-03
AMMN,2025-09-03,8025.0,27878600.0,2025-09-03
AMMS,2025-09-03,179.0,8085500.0,2025-09-03
AMOR,2025-09-03,478.0,96600.0,2025-09-03
AMRT,2025-09-03,2140.0,23760000.0,2025-09-03
ANDI,2025-09-03,34.0,7478300.0,2025-09-03
ANJT,2025-09-03,1795.0,1207300.0,2025-09-03
ANTM,2025-09-03,3480.0,393011500.0,2025-09-03
APEX,2025-09-03,127.0,36165800.0,2025-09-03
APIC,2025-09-03,1160.0,6717800.0,2025-09-03
APII,2025-09-03,176.0,110400.0,2025-09-03
APLI,2025-09-03,500.0,19600.0,2025-09-03
APLN,2025-09-03,105.0,21012300.0,2025-09-03
ARCI,2025-09-03,900.0,318259600.0,2025-09-03
AREA,2025-09-03,525.0,1231400.0,2025-09-03
ARGO,2025-09-03,1330.0,51400.0,2025-09-03
ARII,2025-09-03,260.0,328100.0,2025-09-03
ARKA,2025-09-03,36.0,13547300.0,2025-09-03
ARKO,2025-09-03,1345.0,1802700.0,2025-09-03
ARMY,2025-09-03,,,2025-09-03
ARNA,2025-09-03,565.0,3160000.0,2025-09-03
ARTA,2025-09-03,3270.0,5000.0,2025-09-03
ARTI,2025-09-03,,,2025-09-03
ARTO,2025-09-03,2190.0,4257800.0,2025-09-03
ASBI,2025-09-03,434.0,114000.0,2025-09-03
ASDM,2025-09-03,540.0,1500.0,2025-09-03
ASGR,2025-09-03,1185.0,482700.0,2025-09-03
ASHA,2025-09-03,39.0,3776000.0,2025-09-03
ASII,2025-09-03,5500.0,45471600.0,2025-09-03
ASJT,2025-09-03,111.0,375300.0,2025-09-03
ASLC,2025-09-03,110.0,123504600.0,2025-09-03
ASLI,2025-09-03,,,2025-09-03
ASMI,2025-09-03,27.0,7727700.0,2025-09-03
ASPI,2025-09-03,428.0,5659900.0,2025-09-03
ASPR,2025-09-03,,,2025-09-03
ASRI,2025-09-03,174.0,40257900.0,2025-09-03
ASRM,2025-09-03,280.0,19700.0,2025-09-03
ASSA,2025-09-03,850.0,8847600.0,2025-09-03
ATAP,2025-09-03,52.0,10440800.0,2025-09-03
ATIC,2025-09-03,444.0,719600.0,2025-09-03
ATLA,2025-09-03,65.0,217933100.0,2025-09-03
AUTO,2025-09-03,2400.0,3302700.0,2025-09-03
AVIA,2025-09-03,430.0,23783500.0,2025-09-03
AWAN,2025-09-03,256.0,19823700.0,2025-09-03
AXIO,2025-09-03,128.0,1577800.0,2025-09-03
AYAM,2025-09-03,171.0,107089000.0,2025-09-03
AYLS,2025-09-03,104.0,1687300.0,2025-09-03
BABP,2025-09-03,60.0,40404600.0,2025-09-03
BABY,2025-09-03,318.0,8817800.0,2025-09-03
BACA,2025-09-03,137.0,2909400.0,2025-09-03
BAIK,2025-09-03,106.0,3714000.0,2025-09-03
BAJA,2025-09-03,123.0,2218000.0,2025-09-03
BALI,2025-09-03,1475.0,791100.0,2025-09-03
BANK,2025-09-03,815.0,7720600.0,2025-09-03
BAPA,2025-09-03,68.0,75241800.0,2025-09-03
BAPI,2025-09-03,22.0,18145000.0,2025-09-03
BATA,2025-09-03,51.0,183300.0,2025-09-03
BATR,2025-09-03,102.0,15573900.0,2025-09-03
BAUT,2025-09-03,38.0,37648500.0,2025-09-03
