symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio,price_source_date,broker_source_date,age_price_days,age_broker_days,is_market_closed
AADI,2025-09-03,7175.0,30661000.0,,1.0,,,,,,,0,AK,0.3788741552049005,27805372500.0,-1337175000.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AALI,2025-09-03,7300.0,1578400.0,,1.0,,,,,,,0,CP,0.2878629156878152,1781342500.0,492482500.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ABBA,2025-09-03,42.0,734200.0,,1.0,,,,,,,1,AK,0.6615288867702168,14987400.0,0.0,9.0,5.0,14.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ABDA,2025-09-03,3400.0,100.0,,1.0,,,,,,,0,,,,,,,,,2025-09-01,,2,,1
ABMM,2025-09-03,2960.0,669500.0,,1.0,,,,,,,0,KK,0.3594543512768434,209013000.0,14742000.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ACES,2025-09-03,436.0,75954900.0,,1.0,,,,,,,1,ZP,0.2055326032588386,3366517000.0,-3276023400.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ACRO,2025-09-03,84.0,10604400.0,,1.0,,,,,,,1,YP,0.3455026451556345,158040200.0,-13453600.0,10.0,9.0,19.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ACST,2025-09-03,156.0,149197900.0,,1.0,,,,,,,1,YU,0.2525282754279602,707206900.0,101429700.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ADCP,2025-09-03,69.0,1511227000.0,,1.0,,,,,,,1,AO,0.3624246200166531,3077623000.0,185247500.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ADES,2025-09-03,13675.0,10900.0,,1.0,,,,,,,0,XL,0.7781117516430767,86722500.0,0.0,5.0,5.0,10.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ADHI,2025-09-03,294.0,130272900.0,,1.0,,,,,,,1,SQ,0.2149808361762382,1822810600.0,1310728600.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ADMF,2025-09-03,9000.0,31400.0,,1.0,,,,,,,0,XL,0.3435821188615993,61237500.0,0.0,7.0,7.0,14.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ADMG,2025-09-03,150.0,5097600.0,,1.0,,,,,,,1,XL,0.2586404005760603,51219800.0,-4147400.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ADMR,2025-09-03,1025.0,33131700.0,,1.0,,,,,,,0,CC,0.5705146640408368,7066207500.0,837224500.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ADRO,2025-09-03,1730.0,80794900.0,,1.0,,,,,,,0,SQ,0.3409676546859065,12763894000.0,2127497000.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AEGS,2025-09-03,46.0,438976100.0,,1.0,,,,,,,1,XL,0.6889858068882951,7009794100.0,-135870800.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AGAR,2025-09-03,250.0,29500.0,,1.0,,,,,,,1,IN,0.5348051170153596,2500000.0,0.0,6.0,7.0,13.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AGII,2025-09-03,835.0,382100.0,,1.0,,,,,,,0,PD,0.4159029649595687,73292500.0,-1914500.0,10.0,6.0,16.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AGRO,2025-09-03,236.0,6693400.0,,1.0,,,,,,,1,YP,0.1926216330382042,109987800.0,-35139600.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AGRS,2025-09-03,78.0,5399900.0,,1.0,,,,,,,1,CC,0.4977564387301023,61632700.0,901200.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AHAP,2025-09-03,79.0,10914300.0,,1.0,,,,,,,1,CC,0.4837746239440449,161184900.0,-12828500.0,10.0,9.0,19.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AIMS,2025-09-03,326.0,10500.0,,1.0,,,,,,,1,XC,0.3941646534101468,424200.0,0.0,3.0,2.0,5.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AISA,2025-09-03,121.0,8303300.0,,1.0,,,,,,,1,CC,0.4132138857782755,170514900.0,-45402200.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AKKU,2025-09-03,,,,,,,,,,,0,,,,,,,,,2025-09-03,,0,,0
AKPI,2025-09-03,555.0,9900.0,,1.0,,,,,,,0,YP,0.6701647795268342,3640000.0,0.0,5.0,2.0,7.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AKRA,2025-09-03,1235.0,20502900.0,,1.0,,,,,,,0,DP,0.2415796667742145,3646041000.0,2241528000.0,10.0,10.0,20.0,0.0,2025-09-03,2025-09-03,0,0.0,0
AKSI,2025-09-03,248.0,87800.0,,1.0,,,,,,,1,XA,0.4759484673478454,5356800.0,0.0,9.0,5.0,14.0,0.0,2025-09-03,2025-09-03,0,0.0,0
ALDO,2025-09-03,500.0,119300.0,,1.0,,,,,,,0,NI,0.8307406825443145,22205200.0,50400.0,4.0,10.0,14.0,0.0,2025-09-03,2025-09-03,0,0.0,0
