symbol,date,close,volume
CPIN,2025-09-02,,
CPRI,2025-09-02,,
CPRO,2025-09-02,,
CRAB,2025-09-02,,
CRSN,2025-09-02,,
CSAP,2025-09-02,,
CSIS,2025-09-02,,
CSMI,2025-09-02,,
CSRA,2025-09-02,,
CTBN,2025-09-02,,
CTRA,2025-09-02,,
CTTH,2025-09-02,,
CUAN,2025-09-02,,
CYBR,2025-09-02,,
DAAZ,2025-09-02,,
DADA,2025-09-02,,
DART,2025-09-02,,
DATA,2025-09-02,,
DAYA,2025-09-02,,
DCII,2025-09-02,,
DEAL,2025-09-02,,
DEFI,2025-09-02,,
DEPO,2025-09-02,,
DEWA,2025-09-02,,
DEWI,2025-09-02,,
DFAM,2025-09-02,,
DGIK,2025-09-02,,
DGNS,2025-09-02,,
DGWG,2025-09-02,,
DIGI,2025-09-02,,
DILD,2025-09-02,,
DIVA,2025-09-02,,
DKFT,2025-09-02,,
DKHH,2025-09-02,,
DLTA,2025-09-02,,
DMAS,2025-09-02,,
DMMX,2025-09-02,,
DMND,2025-09-02,,
DNAR,2025-09-02,,
DNET,2025-09-02,,
DOID,2025-09-02,,
DOOH,2025-09-02,,
DOSS,2025-09-02,,
DPNS,2025-09-02,,
DPUM,2025-09-02,,
DRMA,2025-09-02,,
DSFI,2025-09-02,,
DSNG,2025-09-02,,
DSSA,2025-09-02,,
DUCK,2025-09-02,,
DUTI,2025-09-02,,
DVLA,2025-09-02,,
DWGL,2025-09-02,,
DYAN,2025-09-02,,
EAST,2025-09-02,,
ECII,2025-09-02,,
EDGE,2025-09-02,,
EKAD,2025-09-02,,
ELIT,2025-09-02,,
ELPI,2025-09-02,,
ELSA,2025-09-02,,
ELTY,2025-09-02,,
EMDE,2025-09-02,,
EMTK,2025-09-02,,
ENAK,2025-09-02,,
ENRG,2025-09-02,,
ENVY,2025-09-02,,
ENZO,2025-09-02,,
EPAC,2025-09-02,,
EPMT,2025-09-02,,
ERAA,2025-09-02,,
ERAL,2025-09-02,,
ERTX,2025-09-02,,
ESIP,2025-09-02,,
ESSA,2025-09-02,,
ESTA,2025-09-02,,
ESTI,2025-09-02,,
ETWA,2025-09-02,,
EURO,2025-09-02,,
EXCL,2025-09-02,,
FAPA,2025-09-02,,
FAST,2025-09-02,,
FASW,2025-09-02,,
FILM,2025-09-02,,
FIMP,2025-09-02,,
FIRE,2025-09-02,,
FISH,2025-09-02,,
FITT,2025-09-02,,
FLMC,2025-09-02,,
FMII,2025-09-02,,
FOLK,2025-09-02,,
FOOD,2025-09-02,,
FORE,2025-09-02,,
FORU,2025-09-02,,
FPNI,2025-09-02,,
FUJI,2025-09-02,,
FUTR,2025-09-02,,
FWCT,2025-09-02,,
GAMA,2025-09-02,,
GDST,2025-09-02,,
GDYR,2025-09-02,,
GEMA,2025-09-02,,
GEMS,2025-09-02,,
GGRM,2025-09-02,,
GGRP,2025-09-02,,
GHON,2025-09-02,,
GIAA,2025-09-02,,
GJTL,2025-09-02,,
GLOB,2025-09-02,,
GLVA,2025-09-02,,
GMFI,2025-09-02,,
GMTD,2025-09-02,,
GOLD,2025-09-02,,
GOLF,2025-09-02,,
GOLL,2025-09-02,,
GOOD,2025-09-02,,
GOTO,2025-09-02,,
GPRA,2025-09-02,,
GPSO,2025-09-02,,
GRIA,2025-09-02,,
GRPH,2025-09-02,,
GRPM,2025-09-02,,
GSMF,2025-09-02,,
GTBO,2025-09-02,,
GTRA,2025-09-02,,
GTSI,2025-09-02,,
GULA,2025-09-02,,
GUNA,2025-09-02,,
GWSA,2025-09-02,,
GZCO,2025-09-02,,
HADE,2025-09-02,,
HAIS,2025-09-02,,
HAJJ,2025-09-02,,
HALO,2025-09-02,,
HATM,2025-09-02,,
HBAT,2025-09-02,,
HDFA,2025-09-02,,
HDIT,2025-09-02,,
HEAL,2025-09-02,,
HELI,2025-09-02,,
HERO,2025-09-02,,
HEXA,2025-09-02,,
HGII,2025-09-02,,
HILL,2025-09-02,,
HITS,2025-09-02,,
HKMU,2025-09-02,,
HMSP,2025-09-02,,
HOKI,2025-09-02,,
HOME,2025-09-02,,
HOMI,2025-09-02,,
HOPE,2025-09-02,,
HOTL,2025-09-02,,
HRME,2025-09-02,,
HRTA,2025-09-02,,
HRUM,2025-09-02,,
HUMI,2025-09-02,,
HYGN,2025-09-02,,
IATA,2025-09-02,,
IBFN,2025-09-02,,
IBOS,2025-09-02,,
IBST,2025-09-02,,
ICBP,2025-09-02,,
ICON,2025-09-02,,
IDEA,2025-09-02,,
IDPR,2025-09-02,,
IFII,2025-09-02,,
IFSH,2025-09-02,,
IGAR,2025-09-02,,
IIKP,2025-09-02,,
IKAI,2025-09-02,,
IKAN,2025-09-02,,
IKBI,2025-09-02,,
IKPM,2025-09-02,,
IMAS,2025-09-02,,
IMJS,2025-09-02,,
IMPC,2025-09-02,,
INAF,2025-09-02,,
INAI,2025-09-02,,
INCF,2025-09-02,,
INCI,2025-09-02,,
INCO,2025-09-02,,
INDF,2025-09-02,,
INDO,2025-09-02,,
INDR,2025-09-02,,
INDS,2025-09-02,,
INDX,2025-09-02,,
INDY,2025-09-02,,
INET,2025-09-02,,
INKP,2025-09-02,,
INOV,2025-09-02,,
INPC,2025-09-02,,
INPP,2025-09-02,,
INPS,2025-09-02,,
INRU,2025-09-02,,
INTA,2025-09-02,,
INTD,2025-09-02,,
INTP,2025-09-02,,
IOTF,2025-09-02,,
IPAC,2025-09-02,,
IPCC,2025-09-02,,
IPCM,2025-09-02,,
